county_fips,state_name,state_abbr,county_name,svi_overall,svi_socioeconomic,svi_household,svi_minority_status,svi_housing_transport,pct_below_150_poverty,pct_age_65_plus,pct_disability,pct_no_vehicle,pct_limited_english
01001,Alabama,AL,Autauga County,0.2663,0.2367,0.3675,0.6354,0.2358,20.2,15.6,16.4,4.0,0.4
01003,Alabama,AL,Baldwin County,0.3487,0.3433,0.2883,0.489,0.4308,18.3,21.2,13.9,2.3,0.8
01005,Alabama,AL,Barbour County,0.9927,0.9399,0.9399,0.8941,0.9959,37.7,19.8,18.1,11.7,2.0
01007,Alabama,AL,Bibb County,0.8451,0.8893,0.4954,0.6185,0.8931,29.0,16.8,19.6,7.5,0.3
01009,Alabama,AL,Blount County,0.6166,0.6866,0.7884,0.413,0.3532,22.9,18.3,17.0,4.8,2.2
01011,Alabama,AL,Bullock County,0.8985,0.8654,0.5138,0.9809,0.9491,47.4,16.6,11.2,10.4,1.8
01013,Alabama,AL,Butler County,0.6872,0.8441,0.6106,0.8661,0.217,33.8,21.2,16.2,5.0,0.1
01015,Alabama,AL,Calhoun County,0.8145,0.854,0.65,0.658,0.7114,28.7,17.9,20.2,5.6,0.5
01017,Alabama,AL,Chambers County,0.8295,0.7171,0.5317,0.8396,0.9469,28.8,19.7,20.8,7.0,0.3
01019,Alabama,AL,Cherokee County,0.406,0.6077,0.6494,0.2628,0.1152,25.6,23.2,20.3,3.2,0.9
01021,Alabama,AL,Chilton County,0.5336,0.5924,0.6837,0.5425,0.2698,22.8,16.8,19.4,3.3,2.1
01023,Alabama,AL,Choctaw County,0.6548,0.6901,0.798,0.8151,0.2539,31.9,23.3,23.6,5.7,0.3
01025,Alabama,AL,Clarke County,0.8365,0.8412,0.7264,0.8641,0.6462,29.7,20.4,19.6,10.6,0.1
01027,Alabama,AL,Clay County,0.6223,0.7235,0.3688,0.5269,0.5851,29.1,20.8,19.6,6.4,0.0
01029,Alabama,AL,Cleburne County,0.5196,0.4938,0.6739,0.1985,0.5482,27.7,19.6,21.4,6.8,0.4
01031,Alabama,AL,Coffee County,0.6802,0.6497,0.9488,0.6806,0.2323,26.2,17.1,18.3,4.0,1.7
01033,Alabama,AL,Colbert County,0.4467,0.4944,0.6984,0.5644,0.16,23.1,20.0,17.3,4.7,0.9
01035,Alabama,AL,Conecuh County,0.5122,0.5272,0.5332,0.8727,0.2482,38.6,23.4,20.9,7.0,0.0
01037,Alabama,AL,Coosa County,0.4808,0.3513,0.328,0.7321,0.6427,22.2,24.4,25.6,3.8,0.0
01039,Alabama,AL,Covington County,0.7121,0.7509,0.7821,0.4839,0.5075,30.1,21.7,20.8,6.4,0.1
01041,Alabama,AL,Crenshaw County,0.685,0.7588,0.6201,0.6656,0.4575,28.4,19.8,16.9,7.3,0.5
01043,Alabama,AL,Cullman County,0.4909,0.5323,0.713,0.2587,0.3341,23.3,18.8,18.2,2.9,0.8
01045,Alabama,AL,Dale County,0.7766,0.8648,0.9014,0.7003,0.2736,29.6,17.5,20.8,5.2,0.9
01047,Alabama,AL,Dallas County,0.9189,0.9555,0.867,0.9698,0.594,40.8,19.4,19.8,14.6,0.2
01049,Alabama,AL,DeKalb County,0.756,0.7996,0.8139,0.5425,0.5017,33.6,17.3,15.4,4.2,4.7
01051,Alabama,AL,Elmore County,0.4397,0.3185,0.3869,0.6373,0.5667,18.7,15.8,15.2,4.3,0.7
01053,Alabama,AL,Escambia County,0.8473,0.9462,0.7353,0.7814,0.4986,38.3,18.6,20.3,6.1,0.4
01055,Alabama,AL,Etowah County,0.672,0.7961,0.7544,0.574,0.2911,27.2,19.4,17.4,4.2,0.9
01057,Alabama,AL,Fayette County,0.7458,0.8514,0.4788,0.4556,0.6914,34.5,21.2,23.5,10.7,0.1
01059,Alabama,AL,Franklin County,0.7576,0.6675,0.9491,0.6045,0.4846,33.3,17.1,17.0,9.2,4.2
01061,Alabama,AL,Geneva County,0.5822,0.6729,0.6427,0.5161,0.3509,32.0,20.3,23.9,6.8,0.6
01063,Alabama,AL,Greene County,0.9157,0.9211,0.8425,0.9857,0.7254,50.0,23.7,28.2,13.2,0.0
01065,Alabama,AL,Hale County,0.8826,0.9341,0.5072,0.9259,0.8148,35.9,19.7,25.0,11.5,0.2
01067,Alabama,AL,Henry County,0.6195,0.6519,0.5695,0.6726,0.4677,25.9,22.9,20.6,7.6,0.3
01069,Alabama,AL,Houston County,0.7175,0.7703,0.7499,0.7251,0.3936,27.8,18.2,16.8,6.2,0.5
01071,Alabama,AL,Jackson County,0.7194,0.8552,0.8136,0.328,0.3783,31.0,20.6,21.7,4.6,0.7
01073,Alabama,AL,Jefferson County,0.7251,0.6802,0.6109,0.8766,0.6017,24.6,16.3,14.9,6.9,1.0
01075,Alabama,AL,Lamar County,0.4731,0.5654,0.4718,0.413,0.3395,26.7,22.1,22.4,5.7,0.1
01077,Alabama,AL,Lauderdale County,0.4919,0.4687,0.4219,0.4636,0.5568,24.4,20.1,15.3,6.1,0.9
