county_fips,county_full_name,population
01001,"Autauga County, Alabama",59947
01003,"Baldwin County, Alabama",246989
01005,"Barbour County, Alabama",24643
01007,"Bibb County, Alabama",22130
01009,"Blount County, Alabama",59518
01011,"Bullock County, Alabama",10058
01013,"Butler County, Alabama",18630
01015,"Calhoun County, Alabama",116090
01017,"Chambers County, Alabama",34192
01019,"Cherokee County, Alabama",25443
01021,"Chilton County, Alabama",45992
01023,"Choctaw County, Alabama",12380
01025,"Clarke County, Alabama",22543
01027,"Clay County, Alabama",14192
01029,"Cleburne County, Alabama",15426
01031,"Coffee County, Alabama",54920
01033,"Colbert County, Alabama",58022
01035,"Conecuh County, Alabama",11275
01037,"Coosa County, Alabama",10300
01039,"Covington County, Alabama",37628
01041,"Crenshaw County, Alabama",13122
01043,"Cullman County, Alabama",90566
01045,"Dale County, Alabama",49599
01047,"Dallas County, Alabama",36858
01049,"DeKalb County, Alabama",72269
01051,"Elmore County, Alabama",89526
01053,"Escambia County, Alabama",36629
01055,"Etowah County, Alabama",103105
01057,"Fayette County, Alabama",16053
01059,"Franklin County, Alabama",31966
01061,"Geneva County, Alabama",26887
01063,"Greene County, Alabama",7424
01065,"Hale County, Alabama",14829
01067,"Henry County, Alabama",17647
01069,"Houston County, Alabama",108140
01071,"Jackson County, Alabama",53053
01073,"Jefferson County, Alabama",667755
01075,"Lamar County, Alabama",13693
01077,"Lauderdale County, Alabama",95830
01079,"Lawrence County, Alabama",33276
01081,"Lee County, Alabama",181134
01083,"Limestone County, Alabama",111233
01085,"Lowndes County, Alabama",9833
01087,"Macon County, Alabama",18691
01089,"Madison County, Alabama",405718
01091,"Marengo County, Alabama",18851
01093,"Marion County, Alabama",29184
01095,"Marshall County, Alabama",99748
01097,"Mobile County, Alabama",412590
01099,"Monroe County, Alabama",19388
01101,"Montgomery County, Alabama",226718
01103,"Morgan County, Alabama",124471
01105,"Perry County, Alabama",8031
01107,"Pickens County, Alabama",18721
01109,"Pike County, Alabama",32987
01111,"Randolph County, Alabama",22510
01113,"Russell County, Alabama",58811
01115,"St. Clair County, Alabama",94166
01117,"Shelby County, Alabama",230211
01119,"Sumter County, Alabama",11878
01121,"Talladega County, Alabama",81021
01123,"Tallapoosa County, Alabama",40938
01125,"Tuscaloosa County, Alabama",237552
