disaster_number,fema_declaration,state,declaration_type,declaration_date,incident_type,incident_begin_date,incident_end_date,state_fips,county_code,designated_area,last_refresh,county_fips
5672,FM-5672-AK,AK,FM,2026-08-18 00:00:00+00:00,Fire,2026-08-17 00:00:00+00:00,,02,240,Southeast Fairbanks (Census Area),2026-08-20 20:50:08.994000+00:00,02240
5670,FM-5670-OR,OR,FM,2026-08-14 00:00:00+00:00,Fire,2026-08-13 00:00:00+00:00,,41,029,Jackson (County),2026-08-20 20:50:08.994000+00:00,41029
5670,FM-5670-OR,OR,FM,2026-08-14 00:00:00+00:00,Fire,2026-08-13 00:00:00+00:00,,41,033,Josephine (County),2026-08-20 20:50:08.994000+00:00,41033
5669,FM-5669-OK,OK,FM,2026-08-13 00:00:00+00:00,Fire,2026-08-13 00:00:00+00:00,2026-08-16 00:00:00+00:00,40,109,Oklahoma (County),2026-08-20 20:50:08.994000+00:00,40109
5669,FM-5669-OK,OK,FM,2026-08-13 00:00:00+00:00,Fire,2026-08-13 00:00:00+00:00,2026-08-16 00:00:00+00:00,40,017,Canadian (County),2026-08-20 20:50:08.994000+00:00,40017
5666,FM-5666-OR,OR,FM,2026-08-09 00:00:00+00:00,Fire,2026-08-05 00:00:00+00:00,,41,035,Klamath (County),2026-08-20 20:50:08.994000+00:00,41035
5665,FM-5665-UT,UT,FM,2026-08-09 00:00:00+00:00,Fire,2026-08-09 00:00:00+00:00,,49,043,Summit (County),2026-08-20 20:50:08.994000+00:00,49043
5665,FM-5665-UT,UT,FM,2026-08-09 00:00:00+00:00,Fire,2026-08-09 00:00:00+00:00,,49,029,Morgan (County),2026-08-20 20:50:08.994000+00:00,49029
5664,FM-5664-OR,OR,FM,2026-08-09 00:00:00+00:00,Fire,2026-07-16 00:00:00+00:00,,41,059,Umatilla (County),2026-08-20 20:50:08.994000+00:00,41059
5664,FM-5664-OR,OR,FM,2026-08-09 00:00:00+00:00,Fire,2026-07-16 00:00:00+00:00,,41,061,Union (County),2026-08-20 20:50:08.994000+00:00,41061
5662,FM-5662-CA,CA,FM,2026-08-04 00:00:00+00:00,Fire,2026-08-04 00:00:00+00:00,,06,009,Calaveras (County),2026-08-20 20:50:08.994000+00:00,06009
5661,FM-5661-UT,UT,FM,2026-08-02 00:00:00+00:00,Fire,2026-08-02 00:00:00+00:00,,49,027,Millard (County),2026-08-20 20:50:08.994000+00:00,49027
5660,FM-5660-ID,ID,FM,2026-08-02 00:00:00+00:00,Fire,2026-08-02 00:00:00+00:00,,16,087,Washington (County),2026-08-20 20:50:08.994000+00:00,16087
5659,FM-5659-WA,WA,FM,2026-08-02 00:00:00+00:00,Fire,2026-08-01 00:00:00+00:00,,53,063,Spokane (County),2026-08-20 20:50:08.994000+00:00,53063
5659,FM-5659-WA,WA,FM,2026-08-02 00:00:00+00:00,Fire,2026-08-01 00:00:00+00:00,,53,065,Stevens (County),2026-08-20 20:50:08.994000+00:00,53065
5658,FM-5658-WA,WA,FM,2026-08-02 00:00:00+00:00,Fire,2026-08-01 00:00:00+00:00,,53,063,Spokane (County),2026-08-20 20:50:08.994000+00:00,53063
5657,FM-5657-WA,WA,FM,2026-08-01 00:00:00+00:00,Fire,2026-08-01 00:00:00+00:00,,53,047,Okanogan (County),2026-08-20 20:50:08.994000+00:00,53047
5656,FM-5656-WA,WA,FM,2026-08-01 00:00:00+00:00,Fire,2026-08-01 00:00:00+00:00,,53,063,Spokane (County),2026-08-20 20:50:08.994000+00:00,53063
5655,FM-5655-OR,OR,FM,2026-07-31 00:00:00+00:00,Fire,2026-07-31 00:00:00+00:00,,41,013,Crook (County),2026-08-20 20:50:08.994000+00:00,41013
5655,FM-5655-OR,OR,FM,2026-07-31 00:00:00+00:00,Fire,2026-07-31 00:00:00+00:00,,41,031,Jefferson (County),2026-08-20 20:50:08.994000+00:00,41031
