disaster_number,fema_declaration,state,declaration_type,declaration_date,incident_type,incident_begin_date,incident_end_date,state_fips,county_code,designated_area,last_refresh
5653,FM-5653-WA,WA,FM,2026-07-30T00:00:00.000Z,Fire,2026-07-30T00:00:00.000Z,,53,000,Colville Indian Reservation,2026-08-20T20:50:08.994Z
5651,FM-5651-WA,WA,FM,2026-07-26T00:00:00.000Z,Fire,2026-07-26T00:00:00.000Z,,53,000,Yakama Reservation,2026-08-20T20:50:08.994Z
5649,FM-5649-WA,WA,FM,2026-07-26T00:00:00.000Z,Fire,2026-07-25T00:00:00.000Z,,53,000,Yakama Reservation,2026-08-20T20:50:08.994Z
5647,FM-5647-OR,OR,FM,2026-07-23T00:00:00.000Z,Fire,2026-07-23T00:00:00.000Z,,41,000,Warm Springs Indian Reservation,2026-08-20T20:50:08.994Z
5646,FM-5646-WA,WA,FM,2026-07-17T00:00:00.000Z,Fire,2026-07-16T00:00:00.000Z,,53,000,Colville Indian Reservation,2026-08-20T20:50:08.994Z
5520,FM-5520-ID,ID,FM,2024-07-26T00:00:00.000Z,Fire,2024-07-25T00:00:00.000Z,2024-08-09T00:00:00.000Z,16,000,Nez Perce Indian Reservation,2026-08-20T20:50:08.994Z
5518,FM-5518-WA,WA,FM,2024-07-24T00:00:00.000Z,Fire,2024-07-17T00:00:00.000Z,2024-07-21T00:00:00.000Z,53,000,Colville Indian Reservation,2026-08-20T20:50:08.994Z
5517,FM-5517-WA,WA,FM,2024-07-23T00:00:00.000Z,Fire,2024-07-22T00:00:00.000Z,2024-07-28T00:00:00.000Z,53,000,Yakama Reservation,2026-08-20T20:50:08.994Z
5508,FM-5508-AZ,AZ,FM,2024-07-13T00:00:00.000Z,Fire,2024-07-10T00:00:00.000Z,2024-07-15T00:00:00.000Z,04,000,San Carlos Indian Reservation,2026-08-20T20:50:08.994Z
5499,FM-5499-WA,WA,FM,2024-06-23T00:00:00.000Z,Fire,2024-06-22T00:00:00.000Z,2024-07-11T00:00:00.000Z,53,000,Yakama Reservation,2026-08-20T20:50:08.994Z
5498,FM-5498-NM,NM,FM,2024-06-18T00:00:00.000Z,Fire,2024-06-17T00:00:00.000Z,,35,000,Mescalero Tribe,2026-08-20T20:50:08.994Z
5497,FM-5497-NM,NM,FM,2024-06-17T00:00:00.000Z,Fire,2024-06-17T00:00:00.000Z,,35,000,Mescalero Tribe,2026-08-20T20:50:08.994Z
5407,FM-5407-ID,ID,FM,2021-08-13T00:00:00.000Z,Fire,2021-08-12T00:00:00.000Z,2021-08-17T00:00:00.000Z,16,000,Nez Perce Indian Reservation,2026-08-20T20:50:08.994Z
5403,FM-5403-MT,MT,FM,2021-07-28T00:00:00.000Z,Fire,2021-07-28T00:00:00.000Z,2021-07-31T00:00:00.000Z,30,000,Crow Indian Reservation,2026-08-20T20:50:08.994Z
5397,FM-5397-WA,WA,FM,2021-07-13T00:00:00.000Z,Fire,2021-07-12T00:00:00.000Z,2021-07-26T00:00:00.000Z,53,000,Colville Indian Reservation,2026-08-20T20:50:08.994Z
5356,FM-5356-OR,OR,FM,2020-09-08T00:00:00.000Z,Fire,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,41,000,Warm Springs Indian Reservation,2026-08-20T20:50:08.994Z
5351,FM-5351-WA,WA,FM,2020-09-07T00:00:00.000Z,Fire,2020-09-07T00:00:00.000Z,2020-09-19T00:00:00.000Z,53,000,Colville Indian Reservation,2026-08-20T20:50:08.994Z
